experiment,epoch,train_loss,train_acc,val_loss,val_acc
relu_2x128,1,0.8713821768760681,0.7717222222222222,0.4222606122493744,0.8813333333333333
relu_2x128,2,0.3626507818698883,0.8990925925925926,0.3258817493915558,0.9053333333333333
relu_2x128,3,0.3009078800678253,0.9151481481481482,0.2840392291545868,0.9195
relu_2x128,4,0.26619064807891846,0.9242407407407407,0.25733867287635803,0.9266666666666666
relu_2x128,5,0.24122406542301178,0.9314259259259259,0.23731714487075806,0.9335
relu_3x256,1,0.6659024357795715,0.822462962962963,0.32961732149124146,0.9063333333333333
relu_3x256,2,0.29033657908439636,0.9160185185185186,0.26242852210998535,0.9251666666666667
relu_3x256,3,0.23416875302791595,0.9320555555555555,0.2259417325258255,0.9365
relu_3x256,4,0.20012332499027252,0.941962962962963,0.20041437447071075,0.943
relu_3x256,5,0.17479194700717926,0.9494444444444444,0.18587173521518707,0.945
sigmoid_2x256,1,1.5422416925430298,0.5897222222222223,0.7984890937805176,0.8121666666666667
sigmoid_2x256,2,0.5929359793663025,0.8495185185185186,0.4837653934955597,0.8701666666666666
sigmoid_2x256,3,0.42914360761642456,0.8828333333333334,0.4005887806415558,0.8853333333333333
sigmoid_2x256,4,0.3729857802391052,0.8945740740740741,0.36537203192710876,0.8953333333333333
sigmoid_2x256,5,0.34359756112098694,0.9013703703703704,0.3388921022415161,0.9016666666666666
tanh_2x256,1,0.6462268829345703,0.8301296296296297,0.40179386734962463,0.8888333333333334
tanh_2x256,2,0.3584393560886383,0.8991666666666667,0.33264559507369995,0.906
tanh_2x256,3,0.3123808801174164,0.9110925925925926,0.3048681318759918,0.9138333333333334
tanh_2x256,4,0.2863917946815491,0.9189814814814815,0.2849125266075134,0.9205
tanh_2x256,5,0.2674395740032196,0.9241666666666667,0.27044084668159485,0.925
